Date,Close
40819.00,45.27
40816.00,46.57
40815.00,48.57
40814.00,47.42
40813.00,49.18
40812.00,47.24
40809.00,46.67
40808.00,45.67
40807.00,49.98
40806.00,51.83
40805.00,51.57
40802.00,53.58
40801.00,52.73
40800.00,52.06
40799.00,52.39
40798.00,52.18
40795.00,52.19
40794.00,54.6
40793.00,56.14
40792.00,53.97
40788.00,54.65
40787.00,56.02
40786.00,56.7
40785.00,55.16
40784.00,55.3
40781.00,53.06
40780.00,51.37
40779.00,52.65
40778.00,53.14
40777.00,50.31
40774.00,50.86
40773.00,52.69
40772.00,56.21
40771.00,55.43
40770.00,55.43
40767.00,54.23
40766.00,55.03
40765.00,51.44
40764.00,55
40763.00,53
40760.00,58.37
40759.00,58.61
40758.00,62.76
40757.00,63.72
40756.00,65.89
40753.00,65.68
40752.00,65.97
40751.00,65.72
40750.00,66.55
40749.00,66.22
40746.00,66.77
40745.00,66.64
40744.00,66.23
40743.00,65.69
40742.00,64.5
40739.00,65.62
40738.00,65.3
40737.00,65.7
40736.00,64.61
40735.00,65.69
40732.00,67.47
40731.00,67.94
40730.00,66.71
40729.00,66.53
40725.00,66.07
40724.00,65
40723.00,64.32
40722.00,63.55
40721.00,62.9
40718.00,62.51
40717.00,62.29
40716.00,62.44
40715.00,63.07
40714.00,61.55
40711.00,61.91
40710.00,62
40709.00,62.55
40708.00,63.87
40707.00,62.3
40704.00,62.01
40703.00,63.9
40702.00,63.51
40701.00,64.38
40700.00,64.06
40697.00,64.81
40696.00,65.14
40695.00,64.94
40694.00,66.01
40690.00,64.89
40689.00,63.64
40688.00,62.21
40687.00,62.23
40686.00,61.9
40683.00,64.25
40682.00,64.66
40681.00,65.34
40680.00,63.95
40679.00,64.07
40676.00,64.32
40675.00,65.63
40674.00,65.82
40673.00,66.8
40672.00,66.18
40669.00,66.65
40668.00,66.17
40667.00,66.91
40666.00,68.28
40665.00,69.64
40662.00,68.97
40661.00,68.34
40660.00,68.36
40659.00,68.47
40658.00,68.24
40654.00,68.36
40653.00,67.55
40652.00,65.3
40651.00,64.45
40648.00,65.62
40647.00,65.53
40646.00,64.79
40645.00,63.24
40644.00,64.41
40641.00,64.97
40640.00,65.05
40639.00,65.69
40638.00,65.51
40637.00,65.38
40634.00,65.74
40633.00,64.35
40632.00,63.99
40631.00,62.78
40630.00,61.97
40627.00,62.13
40626.00,61.37
40625.00,60.09
40624.00,60.07
40623.00,60.05
40620.00,58.96
40619.00,58.19
40618.00,56.61
40617.00,57.7
40616.00,58.77
40613.00,58.1
40612.00,57.93
40611.00,59.95
40610.00,59.86
40609.00,58.91
40606.00,60.12
40605.00,59.41
40604.00,57.87
40603.00,57.2
40602.00,58.06
40599.00,58.5
40598.00,57.81
40597.00,57.8
40596.00,58.09
40592.00,60.47
40591.00,59.72
40590.00,59.6
40589.00,59.62
40588.00,59.66
40585.00,59.3
40584.00,60.04
40583.00,61.09
40582.00,62.74
40581.00,62.95
40578.00,63.14
40577.00,63.05
40576.00,63.19
40575.00,63.32
40574.00,61.4
40571.00,61.36
40570.00,63.27
40569.00,62.9
40568.00,61.66
40567.00,61.98
40564.00,61.11
40563.00,62.3
